FarmName RFID
Animal1 840003234513944
Animal2 840003250681685
Animal3 840003250681706
Animal4 840003250681686
Animal5 840003250681660
Animal6 840003250681708
Animal7 840003250681698
Animal8 840003250681710
Animal9 840003250681721
Animal10 840003250681701
Animal11 840003250681675
Animal12 840003250681687
Animal13 840003250681709
Animal14 840003218921015
Animal15 840003250681666
Animal16 840003250681683
Animal17 840003250681696
Animal18 840003250681728
Animal19 840003250681680
Animal20 840003250681661
Animal21 840003234513937
Animal22 840003250681649
Animal23 840003250681719
Animal24 840003250681688
Animal25 840003250681712
Animal26 840003250681693
Animal27 840003250681703
Animal28 840003250681699
Animal29 840003250681645
Animal30 840003250681648
Animal31 840003250681651
Animal32 154150620340234
