FarmName EID Parity DIM
Cow_20 840005523444287 2 93
Cow_22 840003104179347 2 50
Cow_31 840002283442485 2 74
Cow_18 840002729370061 2 120
Cow_9 840008082596808 2 75
Cow_7 840005076732408 2 101
Cow_27 840001825772123 2 57
Cow_2 840001612373162 2 98
Cow_32 840009970298100 2 64
Cow_14 840005328627841 2 89
Cow_10 840003113836204 2 61
Cow_8 840003195518963 2 73
Cow_1 840002806381257 2 114
Cow_19 840008968446291 2 106
Cow_6 840003016615649 2 117
Cow_5 840009871456758 2 77
Cow_29 840000635183482 2 118
Cow_12 840006717345457 2 113
Cow_11 840007503635714 2 88
Cow_25 840005435567051 2 84
Cow_16 840003219658146 2 119
Cow_21 840003638119576 2 107
Cow_30 840009675701177 2 96
Cow_23 840001071456480 2 65
Cow_13 840008387151647 2 83
Cow_24 840002313039773 2 87
Cow_17 840003037342533 2 86
Cow_15 840003512640042 2 115
Cow_28 840003187417178 2 51
Cow_4 840008165679914 2 56
Cow_26 840005656907166 2 103
Cow_3 840002012618204 2 54
