FID,FeedTime,CowTag,CurrentCup,MaxCups,CurrentPeriod,MaxPeriods,CupDelay,PeriodDelay,FoodType
1,5/13/24 8:43,000000000840003234513777,1,5,1,6,40,7200,1
1,5/13/24 8:52,000000000840003250681888,1,5,1,6,40,7200,1
1,5/13/24 9:11,000000000840003250681999,1,5,1,6,40,7200,1
1,5/13/24 9:29,000000000840003250681111,1,5,1,6,40,7200,1
1,5/13/24 9:33,000000000840003250681222,1,5,1,6,40,7200,1
1,5/13/24 9:34,000000000840003250681222,2,5,1,6,40,7200,1
1,5/13/24 9:35,000000000840003250681222,3,5,1,6,40,7200,1
1,5/13/24 9:35,000000000840003250681222,4,5,1,6,40,7200,1
1,5/13/24 9:36,000000000840003250681222,5,5,1,6,40,7200,1
1,5/13/24 10:36,000000000840003250681333,1,5,1,6,40,7200,1
1,5/13/24 10:55,000000000840003250681333,2,5,1,6,40,7200,1
1,5/13/24 10:59,000000000840003250681333,3,5,1,6,40,7200,1
1,5/13/24 11:01,000000000840003250681333,4,5,1,6,40,7200,1
1,5/13/24 11:01,000000000840003250681333,5,5,1,6,40,7200,1
1,5/13/24 11:22,000000000840003250681444,1,5,1,6,40,7200,1
1,5/13/24 11:33,000000000840003250681555,1,5,1,6,40,7200,1
1,5/13/24 12:15,000000000840003250681666,1,5,1,6,40,7200,1
1,5/13/24 12:16,000000000840003250681666,2,5,1,6,40,7200,1
1,5/13/24 12:20,000000000840003250681666,3,5,1,6,40,7200,1
1,5/13/24 12:20,000000000840003250681777,1,5,1,6,40,7200,1
1,5/13/24 12:21,000000000840003250681555,1,5,1,6,40,7200,1
1,5/13/24 12:22,000000000840003250681555,2,5,1,6,40,7200,1
1,5/13/24 12:25,000000000840003250681222,1,5,1,6,40,7200,1
1,5/13/24 12:26,000000000840003250681222,2,5,1,6,40,7200,1
1,5/13/24 12:28,000000000840003250681666,1,5,1,6,40,7200,1
1,5/13/24 12:29,000000000840003250681666,2,5,1,6,40,7200,1
1,5/13/24 12:30,000000000840003250681666,3,5,1,6,40,7200,1
1,5/13/24 12:31,000000000840003250681666,4,5,1,6,40,7200,1
1,5/13/24 12:32,000000000840003250681666,5,5,1,6,40,7200,1
1,5/13/24 12:49,000000000840003250681555,3,5,1,6,40,7200,1
1,5/13/24 13:06,000000000840003250681222,1,5,2,6,40,7200,1
1,5/13/24 13:07,000000000840003250681222,2,5,2,6,40,7200,1
1,5/13/24 13:07,000000000840003250681222,3,5,2,6,40,7200,1
1,5/13/24 13:08,000000000840003250681222,4,5,2,6,40,7200,1
1,5/13/24 13:09,000000000840003218921444,1,5,1,6,40,7200,1
1,5/13/24 13:10,000000000840003250681222,5,5,2,6,40,7200,1
1,5/13/24 13:20,000000000840003250681999,1,5,2,6,40,7200,1
1,5/13/24 13:21,000000000840003250681999,2,5,2,6,40,7200,1
1,5/13/24 13:51,000000000840003250681999,3,5,2,6,40,7200,1
1,5/13/24 13:56,000000000840003250681666,4,5,1,6,40,7200,1
1,5/13/24 13:59,000000000840003250681666,5,5,1,6,40,7200,1
1,5/13/24 14:00,000000000840003250681999,4,5,2,6,40,7200,1
1,5/13/24 14:05,000000000840003250681666,1,5,1,6,40,7200,1
1,5/13/24 14:05,000000000840003250681666,2,5,1,6,40,7200,1
1,5/13/24 14:20,000000000840003250681666,3,5,1,6,40,7200,1
1,5/13/24 14:43,000000000840003250681888,1,5,1,6,40,7200,1
1,5/13/24 14:46,000000000840003250681888,2,5,1,6,40,7200,1
1,5/13/24 14:47,000000000840003250681888,3,5,1,6,40,7200,1
1,5/13/24 14:49,000000000840003250681888,4,5,1,6,40,7200,1
1,5/13/24 14:50,000000000840003250681888,5,5,1,6,40,7200,1
1,5/13/24 14:58,000000000840003250681222,1,5,1,6,40,7200,1
1,5/13/24 14:59,000000000840003234513777,1,5,2,6,40,7200,1
1,5/13/24 15:00,000000000840003234513777,2,5,2,6,40,7200,1
1,5/13/24 15:00,000000000840003234513777,3,5,2,6,40,7200,1
1,5/13/24 15:01,000000000840003234513777,4,5,2,6,40,7200,1
1,5/13/24 15:02,000000000840003234513777,5,5,2,6,40,7200,1
1,5/13/24 15:39,000000000840003250681222,1,5,3,6,40,7200,1
1,5/13/24 15:40,000000000840003250681222,2,5,3,6,40,7200,1
1,5/13/24 15:41,000000000840003250681222,3,5,3,6,40,7200,1
1,5/13/24 15:42,000000000840003250681222,4,5,3,6,40,7200,1
1,5/13/24 15:42,000000000840003250681222,5,5,3,6,40,7200,1
1,5/13/24 15:44,000000000840003250681333,1,5,1,6,40,7200,1
1,5/13/24 15:46,000000000840003250681888,1,5,1,6,40,7200,1
1,5/13/24 15:46,000000000840003250681333,2,5,1,6,40,7200,1
1,5/13/24 15:48,000000000840003250681333,3,5,1,6,40,7200,1
1,5/13/24 15:49,000000000840003250681333,4,5,1,6,40,7200,1
1,5/13/24 15:50,000000000840003250681333,5,5,1,6,40,7200,1
1,5/13/24 15:51,000000000840003250681888,2,5,1,6,40,7200,1
1,5/13/24 16:26,000000000840003250681666,1,5,2,6,40,7200,1
1,5/13/24 16:30,000000000840003250681666,1,5,2,6,40,7200,1
1,5/13/24 16:32,000000000840003250681777,1,5,2,6,40,7200,1
1,5/13/24 16:33,000000000840003250681777,2,5,2,6,40,7200,1
